class,difficulty,helpfulness,professor,date
BIO151,4,5,Caleb Rounds,2017-04-27
BIO152,4,3,Caleb Rounds,2017-04-12
BIO151,3,4,Caleb Rounds,2017-04-01
BIO151,3,5,Caleb Rounds,2017-03-31
BIO151,3,5,Caleb Rounds,2017-03-29
BIO152,3,5,Caleb Rounds,2017-03-22
BIO151,4,4,Caleb Rounds,2017-01-20
BIO151,4,5,Caleb Rounds,2017-01-18
BIO151,4,5,Caleb Rounds,2017-01-15
BIO151,3,4,Caleb Rounds,2017-01-11
BIO151,4,5,Caleb Rounds,2017-01-04
BIO151,4,5,Caleb Rounds,2016-12-27
BIO151,4,1,Caleb Rounds,2016-11-28
BIO151,3,5,Caleb Rounds,2016-11-15
BIO151,4,5,Caleb Rounds,2016-10-14
BIO151,5,1,Caleb Rounds,2016-10-03
BIO152,4,2,Caleb Rounds,2016-09-08
BIO152,4,4,Caleb Rounds,2016-07-19
BIO152,4,3,Caleb Rounds,2016-05-25
BIOLOGY152,2,4,Caleb Rounds,2016-05-11
BIO152,3,5,Caleb Rounds,2016-05-10
BIO151,4,5,Caleb Rounds,2016-04-13
BIO151,3,5,Caleb Rounds,2016-04-11
BIO152,3,5,Caleb Rounds,2016-04-10
BIO151,4,4,Caleb Rounds,2016-01-22
BIO152,3,5,Caleb Rounds,2016-01-19
BIO151,4,5,Caleb Rounds,2016-01-05
BIO151,3,5,Caleb Rounds,2015-12-21
BIO151,4,4,Caleb Rounds,2015-12-18
BIO151,3,4,Caleb Rounds,2015-12-17
BIO151,4,4,Caleb Rounds,2015-12-08
BIO152,4,4,Caleb Rounds,2015-11-30
BIO151,5,1,Caleb Rounds,2015-11-28
BIO151,4,4,Caleb Rounds,2015-11-19
BIO151,3,4,Caleb Rounds,2015-11-19
BIO151,3,4,Caleb Rounds,2015-11-19
BIO151,4,3,Caleb Rounds,2015-11-18
BIO151,2,4,Caleb Rounds,2015-11-02
BIO152,3,3,Caleb Rounds,2015-07-27
BIO152,4,4,Caleb Rounds,2015-07-20
151,3,5,Caleb Rounds,2015-07-14
BIO151,3,5,Caleb Rounds,2015-06-24
BIO152,4,4,Caleb Rounds,2015-05-05
BIO152,4,5,Caleb Rounds,2015-04-06
151,4,4,Caleb Rounds,2015-04-06
151,4,5,Caleb Rounds,2015-03-25
BIO152,3,3,Caleb Rounds,2015-03-24
BIO152,3,4,Caleb Rounds,2015-03-11
BIOLOGY152,3,3,Caleb Rounds,2015-03-10
BIO152,4,4,Caleb Rounds,2015-02-18
BIO151,3,4,Caleb Rounds,2015-02-15
BIO151,5,2,Caleb Rounds,2015-01-15
151,4,3,Caleb Rounds,2015-01-13
151,5,1,Caleb Rounds,2015-01-11
BIO151,4,4,Caleb Rounds,2014-12-30
BIO151,4,3,Caleb Rounds,2014-12-25
151,5,1,Caleb Rounds,2014-12-22
151,4,2,Caleb Rounds,2014-12-19
BIO151,3,3,Caleb Rounds,2014-12-18
BIO151,3,4,Caleb Rounds,2014-12-15
BIO151,3,3,Caleb Rounds,2014-12-11
151,3,4,Caleb Rounds,2014-12-08
BIO151,3,3,Caleb Rounds,2014-12-04
BIO151,2,4,Caleb Rounds,2014-12-01
BIO151,4,4,Caleb Rounds,2014-11-21
BIO151,3,3,Caleb Rounds,2014-11-20
BIO151,3,4,Caleb Rounds,2014-11-20
151,4,5,Caleb Rounds,2014-11-18
BIO151,3,5,Caleb Rounds,2014-11-14
BIO151,4,3,Caleb Rounds,2014-11-12
BIO151,4,2,Caleb Rounds,2014-11-12
BIO151,4,3,Caleb Rounds,2014-11-12
BIO151,5,1,Caleb Rounds,2014-11-11
151,1,5,Caleb Rounds,2014-11-10
151,4,4,Caleb Rounds,2014-11-10
BIO151,5,3,Caleb Rounds,2014-11-08
151,4,3,Caleb Rounds,2014-11-03
BIOLOGY151,3,4,Caleb Rounds,2014-11-01
BIO151,5,1,Caleb Rounds,2014-10-28
BIO151,4,4,Caleb Rounds,2014-10-28
BIO151,4,2,Caleb Rounds,2014-10-27
151,4,3,Caleb Rounds,2014-10-27
BIO151,5,3,Caleb Rounds,2014-10-24
BIO151,3,4,Caleb Rounds,2014-10-15
BIO151,3,5,Caleb Rounds,2014-10-14
BIO151,4,2,Caleb Rounds,2014-10-06
BIO151,4,3,Caleb Rounds,2014-09-29
BIO151,3,5,Caleb Rounds,2014-09-10
BIO151,3,3,Caleb Rounds,2014-09-08
PSYCH100,2,4,Tamara Rahhal,2024-11-22
PSYCH100,1,5,Tamara Rahhal,2024-11-19
PSYCH100,2,5,Tamara Rahhal,2024-09-19
PHYCH100,2,5,Tamara Rahhal,2024-05-14
PSYCH100,3,5,Tamara Rahhal,2023-12-06
PSYCH100,2,5,Tamara Rahhal,2023-05-26
PSYCH100,2,5,Tamara Rahhal,2022-12-14
PSYCH100,1,5,Tamara Rahhal,2022-12-08
PSYCH100,2,5,Tamara Rahhal,2022-05-14
PSYCH100,2,5,Tamara Rahhal,2022-01-26
PSYCH100,3,5,Tamara Rahhal,2021-12-18
PSYCH00,2,5,Tamara Rahhal,2021-12-06
PSYCH100,3,5,Tamara Rahhal,2021-11-29
PSYCH100,1,5,Tamara Rahhal,2020-11-12
PSYCH100,2,4,Tamara Rahhal,2020-05-09
PHYCH100,2,5,Tamara Rahhal,2020-02-19
PSYCH00,2,5,Tamara Rahhal,2020-01-24
PSYCH100,3,5,Tamara Rahhal,2020-01-15
PSYCH100,2,5,Tamara Rahhal,2019-12-18
PSYCH100,2,5,Tamara Rahhal,2019-01-18
PSYCH100,3,5,Tamara Rahhal,2018-12-12
PSYCH100,2,4,Tamara Rahhal,2018-06-07
PSYCH100,1,5,Tamara Rahhal,2018-02-08
PSYCH100,2,5,Tamara Rahhal,2018-01-21
PSYCH100,2,5,Tamara Rahhal,2018-01-01
PSYCH100,2,5,Tamara Rahhal,2017-11-16
PSYCH100,2,5,Tamara Rahhal,2017-11-14
PSYCH100,3,5,Tamara Rahhal,2017-04-09
PSYCH100,3,5,Tamara Rahhal,2017-04-07
PSYCH100,3,5,Tamara Rahhal,2017-03-20
PSYCH100,3,5,Tamara Rahhal,2017-03-16
PSYCH100,2,5,Tamara Rahhal,2017-01-17
PSYCH100,2,5,Tamara Rahhal,2017-01-07
PSYCH100,2,5,Tamara Rahhal,2017-01-03
PSYCH100,2,5,Tamara Rahhal,2016-12-22
PHYCH100,3,5,Tamara Rahhal,2016-12-20
PHYCH100,3,5,Tamara Rahhal,2016-12-11
PSYCH100,2,5,Tamara Rahhal,2016-12-01
PSYCH00,2,5,Tamara Rahhal,2016-11-13
PHYCH100,3,4,Tamara Rahhal,2016-09-08
PSYCH100,2,5,Tamara Rahhal,2016-06-12
PHYCH100,1,5,Tamara Rahhal,2016-05-11
PSYCH100,2,3,Tamara Rahhal,2016-04-25
PSYCH100,2,5,Tamara Rahhal,2016-04-21
PHYCH100,1,5,Tamara Rahhal,2016-03-31
PSYCH100,1,5,Tamara Rahhal,2016-02-23
PSYCH100,2,4,Tamara Rahhal,2016-01-03
PSYCH100,1,4,Tamara Rahhal,2015-12-22
PSYCH100,2,4,Tamara Rahhal,2015-12-18
PSYCH100,1,5,Tamara Rahhal,2015-12-12
PSYCH100,1,5,Tamara Rahhal,2015-12-10
PSYCH100,3,4,Tamara Rahhal,2015-12-10
PSYCH100,3,4,Tamara Rahhal,2015-12-03
PSYCH100,3,3,Tamara Rahhal,2015-11-24
PSYCH100,1,4,Tamara Rahhal,2015-11-23
PSYCH100,3,4,Tamara Rahhal,2015-11-18
PSYCH100,2,3,Tamara Rahhal,2015-11-17
PSYCH100,2,4,Tamara Rahhal,2015-09-08
PSYCH100,2,5,Tamara Rahhal,2015-06-12
PSYCH100,1,5,Tamara Rahhal,2015-06-01
PSYCH100,1,4,Tamara Rahhal,2015-05-27
100,3,4,Tamara Rahhal,2015-05-25
PSYCH100,2,5,Tamara Rahhal,2015-05-11
100,2,4,Tamara Rahhal,2015-05-10
100,1,3,Tamara Rahhal,2015-05-05
PSYCH100,1,5,Tamara Rahhal,2015-04-22
PSYCH100,1,4,Tamara Rahhal,2015-04-22
PSYCH100,2,3,Tamara Rahhal,2015-01-10
PSYCH100,1,4,Tamara Rahhal,2014-12-11
100,1,5,Tamara Rahhal,2014-12-08
PSYCH100,2,4,Tamara Rahhal,2014-12-02
PSYCH100,2,4,Tamara Rahhal,2014-12-02
PSYCH100,2,4,Tamara Rahhal,2014-11-24
PSYCH100,3,4,Tamara Rahhal,2014-11-24
PSYCH100,3,4,Tamara Rahhal,2014-11-21
PSYCH100,3,5,Tamara Rahhal,2014-11-19
PSYCH100,1,4,Tamara Rahhal,2014-11-12
PSYCH100,2,5,Tamara Rahhal,2014-11-05
PSYCHOLOGY100,1,5,Tamara Rahhal,2014-11-05
PSYCH100,2,5,Tamara Rahhal,2014-05-15
PSYCH100,1,5,Tamara Rahhal,2014-03-03
PSYCH100,3,4,Tamara Rahhal,2013-12-15
PSYCH100,2,5,Tamara Rahhal,2013-12-11
PYSCH100,5,2,Tamara Rahhal,2013-12-04
PSYCH100,4,4,Tamara Rahhal,2013-11-21
PSYCH100,2,3,Tamara Rahhal,2013-11-14
PSYCH100,2,5,Tamara Rahhal,2013-11-06
PSYCH100BLEC,2,4,Tamara Rahhal,2013-11-04
PSYCH100,2,5,Tamara Rahhal,2013-05-14
PSY100,2,5,Tamara Rahhal,2013-04-07
PSYCH100,1,3,Tamara Rahhal,2013-03-12
PSYCH100,1,5,Tamara Rahhal,2013-03-11
PSYCH100,1,5,Tamara Rahhal,2012-12-26
PSYCH100,2,5,Tamara Rahhal,2012-12-10
PSYCH100B,1,5,Tamara Rahhal,2012-12-10
PSYCHB,2,4,Tamara Rahhal,2012-11-28
PSYCH100,1,5,Tamara Rahhal,2012-11-05
PSYCH100,1,4,Tamara Rahhal,2012-04-25
PSYCH100,1,5,Tamara Rahhal,2012-01-30
PSYCH100,1,4,Tamara Rahhal,2012-01-19
PSYCH100,2,3,Tamara Rahhal,2012-01-18
PSYCHA,2,4,Tamara Rahhal,2011-12-28
PSYCH100,2,5,Tamara Rahhal,2011-12-14
PSYCH100,1,5,Tamara Rahhal,2011-12-08
PSYCH100,2,4,Tamara Rahhal,2011-11-30
PSYCH100,1,5,Tamara Rahhal,2011-11-30
PSYCH100,2,5,Tamara Rahhal,2011-11-29
PSYCH100,2,5,Tamara Rahhal,2011-11-28
PSYCH100,3,2,Tamara Rahhal,2011-11-21
PSYCH100,1,5,Tamara Rahhal,2011-06-14
PSYCH100,1,4,Tamara Rahhal,2011-05-28
PSYCH100,2,5,Tamara Rahhal,2011-05-07
PSYCH100,1,5,Tamara Rahhal,2011-04-24
PSYCH100,2,5,Tamara Rahhal,2011-04-12
PYSCH100,1,5,Tamara Rahhal,2011-01-28
PSYCH100,1,5,Tamara Rahhal,2010-12-20
PSYCH100,2,4,Tamara Rahhal,2010-11-17
PSYCH100,1,5,Tamara Rahhal,2010-05-30
PYCH100,3,5,Tamara Rahhal,2010-05-07
PSYCH100,2,3,Tamara Rahhal,2010-05-06
PSYCH100,2,5,Tamara Rahhal,2010-05-05
PSYCH100,3,4,Tamara Rahhal,2010-05-02
PSYCH100,2,4,Tamara Rahhal,2010-05-02
PSYCH100,2,5,Tamara Rahhal,2010-04-29
PSYCH100,2,5,Tamara Rahhal,2010-04-20
PHYCH100,1,5,Tamara Rahhal,2010-03-23
PSYCH100,1,5,Tamara Rahhal,2010-01-13
PSYCH100,1,5,Tamara Rahhal,2010-01-03
PSYCH100,2,5,Tamara Rahhal,2009-12-31
PSYCH100,2,5,Tamara Rahhal,2009-10-18
PSYCH100,1,5,Tamara Rahhal,2009-05-27
PSYCH100,1,4,Tamara Rahhal,2009-03-09
PSYCH100,2,4,Tamara Rahhal,2009-02-21
PSYCH100,2,5,Tamara Rahhal,2009-01-12
PSYCH100,3,5,Tamara Rahhal,2009-01-01
PSYCH100,2,5,Tamara Rahhal,2008-12-15
PSYCH100,1,5,Tamara Rahhal,2008-11-21
PSYCH100,2,4,Tamara Rahhal,2008-11-19
PSYCH100,2,5,Tamara Rahhal,2008-06-26
PSYCH100,2,5,Tamara Rahhal,2008-05-13
PSYCH100,2,5,Tamara Rahhal,2008-04-24
PSYCH100,2,5,Tamara Rahhal,2008-04-23
PYSCH100,4,4,Tamara Rahhal,2008-03-23
PSYCH100,1,5,Tamara Rahhal,2008-01-15
PSYCH100,1,5,Tamara Rahhal,2008-01-14
PSYCH100,3,4,Tamara Rahhal,2008-01-13
PSYCH100,1,5,Tamara Rahhal,2008-01-09
PSYCH100,1,5,Tamara Rahhal,2007-11-27
PSYCH100,2,4,Tamara Rahhal,2007-11-19
PSYCH100,1,5,Tamara Rahhal,2007-11-06
PSYCH100,3,5,Tamara Rahhal,2007-10-26
PSYCH100,1,5,Tamara Rahhal,2007-10-15
PSYCH100,1,5,Tamara Rahhal,2007-08-16
PSYCH100,1,5,Tamara Rahhal,2007-05-30
PSYCH100,1,2,Tamara Rahhal,2007-05-16
PSYC100,2,5,Tamara Rahhal,2007-05-12
PSYCH100,2,4,Tamara Rahhal,2007-05-09
PSYCH100,1,5,Tamara Rahhal,2007-04-20
PSYCH100,4,5,Tamara Rahhal,2007-04-10
PSYCH100,2,5,Tamara Rahhal,2007-02-01
PSYCH100,1,5,Tamara Rahhal,2006-12-18
PSYCH100,3,5,Tamara Rahhal,2006-11-27
PSYCH100,1,5,Tamara Rahhal,2006-11-20
PSYCH100,2,5,Tamara Rahhal,2006-11-18
PSYCH100,1,5,Tamara Rahhal,2006-11-07
PSYCH100,1,5,Tamara Rahhal,2006-10-19
PSYCH100,2,5,Tamara Rahhal,2006-08-31
PSYCH100,1,2,Tamara Rahhal,2006-05-19
PSYCH100,2,5,Tamara Rahhal,2006-05-19
PSYCH100,1,5,Tamara Rahhal,2006-05-15
PSYCH100,2,5,Tamara Rahhal,2006-05-02
PSYCHOLOGY100,1,5,Tamara Rahhal,2006-04-26
PSYCH100,1,5,Tamara Rahhal,2006-04-12
PSYCH100,2,5,Tamara Rahhal,2006-04-09
PSYCH100,2,5,Tamara Rahhal,2006-04-08
PSYCH100,1,5,Tamara Rahhal,2006-04-05
PSYCH100,1,5,Tamara Rahhal,2006-03-15
PSYCH100,2,5,Tamara Rahhal,2006-02-22
100,2,5,Tamara Rahhal,2006-02-01
PSYCH100,1,4,Tamara Rahhal,2006-01-15
PSYCH100,2,5,Tamara Rahhal,2005-12-22
PSYCH100,3,5,Tamara Rahhal,2005-12-16
PSYCH100,2,5,Tamara Rahhal,2005-12-13
PSYCH100,2,4,Tamara Rahhal,2005-12-12
PSYCH100,1,5,Tamara Rahhal,2005-12-02
PSYCH100,2,4,Tamara Rahhal,2005-11-30
INTROTOPSYCH,1,5,Tamara Rahhal,2005-11-29
INTROTOPYSCH,2,5,Tamara Rahhal,2005-11-28
PSYCH100,2,4,Tamara Rahhal,2005-11-14
PSYCH100,2,5,Tamara Rahhal,2005-10-24
PSYCHOLOGY,2,3,Tamara Rahhal,2005-10-23
PSYCHOLOGY,1,5,Tamara Rahhal,2005-10-16
PSYCH100,1,5,Tamara Rahhal,2005-09-07
PSYCH100,1,5,Tamara Rahhal,2005-08-31
PSYCH100,2,2,Tamara Rahhal,2005-08-16
PSYCH100,2,2,Tamara Rahhal,2005-08-08
PSYCH100,2,5,Tamara Rahhal,2005-08-07
PSYCH100,2,5,Tamara Rahhal,2005-05-16
PSYCH100,2,4,Tamara Rahhal,2005-05-14
PSYCH100,2,4,Tamara Rahhal,2005-05-01
PSYCH100,1,5,Tamara Rahhal,2005-04-26
PSYCH100,2,5,Tamara Rahhal,2005-04-11
PSYCH100,2,5,Tamara Rahhal,2005-04-10
PSYCH100,1,5,Tamara Rahhal,2005-04-06
PSYCH100,1,5,Tamara Rahhal,2005-04-02
PSYCH100,1,4,Tamara Rahhal,2005-03-28
PYSCH100,1,5,Tamara Rahhal,2005-02-02
PSYCH100,2,5,Tamara Rahhal,2005-01-20
PSYCH100,2,5,Tamara Rahhal,2005-01-07
PSYCH100,2,5,Tamara Rahhal,2004-12-26
PSYCH100,1,5,Tamara Rahhal,2004-12-20
PSYCH100,3,5,Tamara Rahhal,2004-12-13
PSYCH100,2,5,Tamara Rahhal,2004-12-10
PSYCH100,2,5,Tamara Rahhal,2004-12-08
PSYCH100,1,5,Tamara Rahhal,2004-12-08
PSYCH100,1,5,Tamara Rahhal,2004-12-08
PSYCH100,2,5,Tamara Rahhal,2004-12-07
PSYCH100,2,4,Tamara Rahhal,2004-12-07
PSYCH100,2,5,Tamara Rahhal,2004-12-07
PSYCH100,2,5,Tamara Rahhal,2004-12-02
PSYCH100,2,4,Tamara Rahhal,2004-12-01
100,3,5,Tamara Rahhal,2004-11-30
PSYCH100,2,5,Tamara Rahhal,2004-11-30
PSYCH100,2,4,Tamara Rahhal,2004-11-28
PSYCH100,1,5,Tamara Rahhal,2004-11-22
PSYCH360H,3,5,Tamara Rahhal,2004-11-16
PSYCH00,3,5,Tamara Rahhal,2004-10-28
PSYCH100,2,5,Tamara Rahhal,2004-09-30
PSYCH100,2,5,Tamara Rahhal,2004-08-09
PSYCH100,1,5,Tamara Rahhal,2004-05-14
PSYCH100,2,5,Tamara Rahhal,2004-05-07
100,1,5,Tamara Rahhal,2004-05-04
100,2,5,Tamara Rahhal,2004-04-22
100,1,5,Tamara Rahhal,2004-04-21
PSYCH100,2,5,Tamara Rahhal,2004-04-21
PSYCH360H,3,5,Tamara Rahhal,2004-04-14
ECON103,3,2,Gerald Friedman,2024-09-20
103,2,3,Gerald Friedman,2023-11-15
ECON103,3,3,Gerald Friedman,2023-03-25
ECON103,2,1,Gerald Friedman,2023-02-26
103,3,1,Gerald Friedman,2023-02-07
ECON103,3,1,Gerald Friedman,2022-12-17
103,4,3,Gerald Friedman,2022-12-06
ECON103,3,2,Gerald Friedman,2022-03-03
ECON103,3,1,Gerald Friedman,2022-02-28
ECON103,4,1,Gerald Friedman,2022-01-09
ECON103,2,1,Gerald Friedman,2021-12-26
ECON103,4,1,Gerald Friedman,2021-12-25
ECON103,3,5,Gerald Friedman,2021-05-08
ECON103,3,1,Gerald Friedman,2020-12-18
ECON103,3,4,Gerald Friedman,2020-12-16
ECON103,3,2,Gerald Friedman,2020-11-02
ECON103,2,5,Gerald Friedman,2020-04-30
ECON103,3,4,Gerald Friedman,2020-04-05
ECON103,3,2,Gerald Friedman,2019-11-14
ECON103,1,2,Gerald Friedman,2019-09-20
ECON103,2,1,Gerald Friedman,2019-06-10
ECON103,2,3,Gerald Friedman,2019-05-01
ECON103,3,4,Gerald Friedman,2019-04-02
ECON103,1,1,Gerald Friedman,2019-02-03
ECON103,1,3,Gerald Friedman,2019-01-26
ECON103,2,5,Gerald Friedman,2019-01-03
ECON103,1,4,Gerald Friedman,2018-12-05
ECON103,2,4,Gerald Friedman,2018-11-29
ECON103,2,4,Gerald Friedman,2018-11-28
ECN103,1,5,Gerald Friedman,2018-05-17
ECON103,2,5,Gerald Friedman,2018-05-15
ECON103,3,4,Gerald Friedman,2018-05-13
ECON103,1,3,Gerald Friedman,2018-03-28
ECON103,2,2,Gerald Friedman,2018-03-28
ECON103,3,1,Gerald Friedman,2018-03-26
ECO103,1,5,Gerald Friedman,2018-01-23
ECON103,1,4,Gerald Friedman,2018-01-17
ECON103,3,5,Gerald Friedman,2017-11-15
ECON103,3,1,Gerald Friedman,2017-04-18
ECON103,4,1,Gerald Friedman,2017-04-17
ECON103,5,1,Gerald Friedman,2017-04-14
ECON103,3,1,Gerald Friedman,2017-04-06
ECON103,4,2,Gerald Friedman,2017-03-25
ECON103,4,1,Gerald Friedman,2017-03-25
ECON103,4,3,Gerald Friedman,2016-12-23
103MICRO,3,4,Gerald Friedman,2016-11-29
ECON103,4,3,Gerald Friedman,2016-11-26
ECN103,4,4,Gerald Friedman,2016-11-17
ECON103,1,4,Gerald Friedman,2016-11-13
ECON103,3,3,Gerald Friedman,2016-11-08
